player_id,name,position,team_id
AADULIN_IND,A.Dulin,WR,IND
JJGILLAN_NYG,J.Gillan,P,NYG
KKBLASINGAME_CHI,K.Blasingame,FB,CHI
AAINGOLD_MIA,A.Ingold,FB,MIA
KKNIXON_GB,K.Nixon,CB,GB
MMBLAIR_SEA,M.Blair,FS,SEA
MMHARDMAN_KC,M.Hardman,WR,KC
MMAWILSON_ARI,Ma.Wilson,ILB,ARI
KKBOYD_HOU,K.Boyd,CB,HOU
JJFOX_DET,J.Fox,P,DET
AAALSHAAIR_HOU,A.Al-Shaair,ILB,HOU
AACOLE_LV,A.Cole,P,LV
JJSLYE_NE,J.Slye,K,NE
DDPHILLIPS_HOU,D.Phillips,OLB,HOU
OOZACCHEAUS_WAS,O.Zaccheaus,WR,WAS
DDHARTY_BAL,D.Harty,WR,BAL
DDIOJOHNSON_CAR,Dio.Johnson,WR,CAR
PPLOCKE_DEN,P.Locke,FS,DEN
KKMURRAY_ARI,K.Murray,QB,ARI
CCWILKINS_LV,C.Wilkins,DT,LV
BBMURPHY_MIN,B.Murphy,CB,MIN
JJTAYLOR_KC,J.Taylor,T,KC
SSMURPHYBUNTING_ARI,S.Murphy-Bunting,CB,ARI
JJTAVAI_NE,J.Tavai,ILB,NE
EEMCCOY_NO,E.McCoy,C,NO
MMSANDERS_CAR,M.Sanders,RB,CAR
ZZALLEN_DEN,Z.Allen,DE,DEN
JJOLIVER_MIN,J.Oliver,TE,MIN
DDSINGLETARY_NYG,D.Singletary,RB,NYG
CCGARDNERJOHNSON_PHI,C.Gardner-Johnson,SS,PHI
AANELSON_TB,A.Nelson,OLB,TB
TTPOLLARD_TEN,T.Pollard,RB,TEN
DDTRANQUILL_KC,D.Tranquill,ILB,KC
AGINKEL_MIN,A.Van Ginkel,OLB,MIN
BBCASHMAN_MIN,B.Cashman,ILB,MIN
MMJACKSON_CAR,M.Jackson,CB,CAR
BBCOWART_CHI,B.Cowart,DT,CHI
JJBAILEY_MIA,J.Bailey,P,MIA
GGMINSHEW_LV,G.Minshew,QB,LV
DDLONG_MIA,D.Long,ILB,MIA
SSMILLER_PIT,S.Miller,WR,PIT
DDOWILSON_DAL,Do.Wilson,SS,DAL
MMGASKIN_MIN,M.Gaskin,RB,MIN
KKELLISS_ATL,K.Elliss,ILB,ATL
TTIRWIN_CIN,T.Irwin,WR,CIN
TTDODSON_SEA,T.Dodson,MLB,SEA
CCLEWIS_BUF,C.Lewis,FS,BUF
CCMCLAUGHLIN_TB,C.McLaughlin,K,TB
TTEDWARDS_CHI,T.Edwards,ILB,CHI
CCGRANDERSON_NO,C.Granderson,DE,NO
LLHUMPHREY_DEN,L.Humphrey,WR,DEN
SSTUTTLE_CAR,S.Tuttle,DT,CAR
GGDORTCH_ARI,G.Dortch,WR,ARI
DDBUSH_CLE,D.Bush,ILB,CLE
DDSLAYTON_NYG,D.Slayton,WR,NYG
TTYJOHNSON_BUF,Ty.Johnson,RB,BUF
GGBRADBURY_MIN,G.Bradbury,C,MIN
TTHOMER_CHI,T.Homer,RB,CHI
TTREEDER_LA,T.Reeder,ILB,LA
JJTHORNHILL_CLE,J.Thornhill,FS,CLE
CCLINDSTROM_ATL,C.Lindstrom,G,ATL
AAHOOKER_TEN,A.Hooker,FS,TEN
DDMETCALF_SEA,D.Metcalf,WR,SEA
JJHINESALLEN_JAX,J.Hines-Allen,DE,JAX
JJSIMMONS_TEN,J.Simmons,DT,TEN
NNFANT_SEA,N.Fant,TE,SEA
MMSWEAT_CHI,M.Sweat,DE,CHI
WWHARRIS_NO,W.Harris,FS,NO
TTMCLAURIN_WAS,T.McLaurin,WR,WAS
TTRAPP_BUF,T.Rapp,SS,BUF
GGGAINES_TB,G.Gaines,NT,TB
NNSCOTT_CAR,N.Scott,SS,CAR
CCBARTON_DEN,C.Barton,MLB,DEN
JJTILLERY_MIN,J.Tillery,DE,MIN
AABROWN_PHI,A.Brown,WR,PHI
DDJONES_SEA,D.Jones,DE,SEA
QQIWILLIAMS_NYJ,Qi.Williams,ILB,NYJ
DDLAWRENCE_NYG,D.Lawrence,NT,NYG
DDMONTGOMERY_DET,D.Montgomery,RB,DET
BBOKEREKE_NYG,B.Okereke,MLB,NYG
DDKNOX_BUF,D.Knox,TE,BUF
CCFERRELL_WAS,C.Ferrell,DE,WAS
GGPRATT_CIN,G.Pratt,OLB,CIN
JJDEAN_TB,J.Dean,CB,TB
JJJACOBS_GB,J.Jacobs,RB,GB
JJTHOMPSON_ARI,J.Thompson,FS,ARI
OOXIMINES_NE,O.Ximines,OLB,NE
DDJONES_NYG,D.Jones,QB,NYG
BBBURNS_NYG,B.Burns,OLB,NYG
NNBOSA_SF,N.Bosa,DE,SF
QQWILLIAMS_NYJ,Q.Williams,NT,NYJ
DDSAMUEL_SF,D.Samuel,WR,SF
MMROACH_DEN,M.Roach,DT,DEN
JJHASTY_NE,J.Hasty,RB,NE
CCHWILLIAMS_CHI,Ch.Williams,DT,CHI
BBGILLIKIN_ARI,B.Gillikin,P,ARI
TTTOWNSEND_HOU,T.Townsend,P,HOU
TTWHARTON_KC,T.Wharton,DT,KC
MMHOECHT_LA,M.Hoecht,OLB,LA
CCROZEBOOM_LA,C.Rozeboom,ILB,LA
KKBARNES_ARI,K.Barnes,ILB,ARI
JJJOHNSON_NO,J.Johnson,TE,NO
BBWASHINGTON_BAL,B.Washington,DE,BAL
MMBRYANT_HOU,M.Bryant,CB,HOU
KKDORSEY_DET,K.Dorsey,CB,DET
JJMADUBUIKE_BAL,J.Madubuike,DT,BAL
RRDOWDLE_DAL,R.Dowdle,RB,DAL
BBHUFF_PHI,B.Huff,DE,PHI
KKWELCH_DEN,K.Welch,ILB,DEN
JJDOBBINS_LAC,J.Dobbins,RB,LAC
JJUCHE_NE,J.Uche,OLB,NE
TTBASS_BUF,T.Bass,K,BUF
NNWESTBROOKIKHINE_TEN,N.Westbrook-Ikhine,WR,TEN
AAEPENESA_BUF,A.Epenesa,DE,BUF
AAJENNINGS_NE,A.Jennings,OLB,NE
GGDAVIS_JAX,G.Davis,WR,JAX
GGSTONE_CIN,G.Stone,SS,CIN
TTTAGOVAILOA_MIA,T.Tagovailoa,QB,MIA
RRDAVIS_IND,R.Davis,NT,IND
DDBROWN_CAR,D.Brown,DE,CAR
BBJONES_DEN,B.Jones,FS,DEN
JJTAYLOR_IND,J.Taylor,RB,IND
JJGREENARD_MIN,J.Greenard,OLB,MIN
KKDUGGER_NE,K.Dugger,FS,NE
CCPARKINSON_LA,C.Parkinson,TE,LA
ZZMOSS_CIN,Z.Moss,RB,CIN
MMPITTMAN_IND,M.Pittman,WR,IND
JJBLACKMON_IND,J.Blackmon,FS,IND
CCMCKIVITZ_SF,C.McKivitz,T,SF
JJJENNINGS_SF,J.Jennings,WR,SF
JJKINLAW_NYJ,J.Kinlaw,DT,NYJ
BBAIYUK_SF,B.Aiyuk,WR,SF
DDHAMILTON_JAX,D.Hamilton,DT,JAX
JJLOVE_GB,J.Love,QB,GB
JJELLIOTT_SF,J.Elliott,DT,SF
LLSHENAULT_SEA,L.Shenault,WR,SEA
DDSWIFT_CHI,D.Swift,RB,CHI
MMHARRISON_BAL,M.Harrison,OLB,BAL
GGDELPIT_CLE,G.Delpit,SS,CLE
AATERRELL_ATL,A.Terrell,CB,ATL
NNIGBINOGHENE_WAS,N.Igbinoghene,CB,WAS
CCKMET_CHI,C.Kmet,TE,CHI
JJJOHNSON_CHI,J.Johnson,CB,CHI
JJCHINN_WAS,J.Chinn,FS,WAS
LLWILSON_CIN,L.Wilson,ILB,CIN
AADAVISGAITHER_CIN,A.Davis-Gaither,OLB,CIN
MMWALKER_WAS,M.Walker,ILB,WAS
JJHAWKINS_NE,J.Hawkins,FS,NE
DDMOONEY_ATL,D.Mooney,WR,ATL
BBMANN_PHI,B.Mann,P,PHI
CCYOUNG_NO,C.Young,DE,NO
JJJEFFERSON_MIN,J.Jefferson,WR,MIN
PPQUEEN_PIT,P.Queen,ILB,PIT
RRHUNT_CAR,R.Hunt,G,CAR
AAGIBSON_NE,A.Gibson,RB,NE
AADAVIS_NYJ,A.Davis,SS,NYJ
DDDUVERNAY_JAX,D.Duvernay,WR,JAX
AAHIGHSMITH_PIT,A.Highsmith,OLB,PIT
TTDYE_LAC,T.Dye,ILB,LAC
KKOSBORN_NE,K.Osborn,WR,NE
BBBRANDEL_MIN,B.Brandel,G,MIN
JJMETELLUS_MIN,J.Metellus,SS,MIN
KKCURL_LA,K.Curl,SS,LA
JJSMITHWILLIAMS_ATL,J.Smith-Williams,DE,ATL
JJHERBERT_LAC,J.Herbert,QB,LAC
CCLAMB_DAL,C.Lamb,WR,DAL
TTDIGGS_DAL,T.Diggs,CB,DAL
WWGAY_NO,W.Gay,ILB,NO
NNGALLIMORE_LA,N.Gallimore,NT,LA
LLSNEED_TEN,L.Sneed,CB,TEN
AAROBERTSON_DET,A.Robertson,CB,DET
TTBIADASZ_WAS,T.Biadasz,C,WAS
MMDANNA_KC,M.Danna,DE,KC
AAGILMAN_LAC,A.Gilman,SS,LAC
XXMCKINNEY_GB,X.McKinney,FS,GB
JJHURTS_PHI,J.Hurts,QB,PHI
KKWALLACE_SEA,K.Wallace,FS,SEA
CCTOOHILL_BUF,C.Toohill,DE,BUF
JJJEUDY_CLE,J.Jeudy,WR,CLE
JJBROOKS_MIA,J.Brooks,ILB,MIA
AAWINFIELD_TB,A.Winfield,FS,TB
DDTAYLOR_CHI,D.Taylor,DE,CHI
VVJEFFERSON_PIT,V.Jefferson,WR,PIT
KKFULTON_LAC,K.Fulton,CB,LAC
ZZBAUN_PHI,Z.Baun,OLB,PHI
AATRAUTMAN_DEN,A.Trautman,TE,DEN
DDDALLAS_ARI,D.Dallas,RB,ARI
TTJOHNSON_LA,T.Johnson,WR,LA
JJSTRNAD_DEN,J.Strnad,ILB,DEN
CCWOERNER_ATL,C.Woerner,TE,ATL
KKDAVIS_HOU,K.Davis,DT,HOU
JJFULLER_CAR,J.Fuller,FS,CAR
KKMURRAY_TEN,K.Murray,ILB,TEN
JJBURROW_CIN,J.Burrow,QB,CIN
KKPAYE_IND,K.Paye,DE,IND
DDODEYINGBO_IND,D.Odeyingbo,DE,IND
TTJONES_JAX,T.Jones,WR,JAX
